,Date,hourly_open,hourly_high,hourly_low,hourly_close,hourly_vol,daily_open,daily_high,daily_low,daily_close,daily_vol,symbol,Label
4390,2015-12-16,206.37,206.78,205.93,206.03,18307772,206.37,208.39,204.8,208.03,197017008,SPY,NONE
4391,2015-12-17,208.39,208.48,206.64,207.06,29158145,208.4,208.48,204.84,204.86,173092476,SPY,HIGH
4392,2015-12-18,202.75,202.93,201.57,201.8,35909412,202.77,202.93,199.83,200.02,251393535,SPY,HIGH
4393,2015-12-21,201.4,201.88,201.05,201.55,21196191,201.41,201.88,200.09,201.67,99094290,SPY,HIGH
4394,2015-12-22,202.72,202.73,201.55,202.22,19092695,202.72,203.85,201.55,203.5,111026246,SPY,LOWS
4395,2015-12-23,204.73,205.11,204.58,204.69,17370667,204.69,206.07,204.58,206.02,110987228,SPY,LOWS
4396,2015-12-24,205.72,206.08,205.42,205.78,8428349,205.72,206.33,205.42,205.68,48542150,SPY,LOWS
4397,2015-12-28,204.84,205.05,204.18,204.43,12262246,204.86,205.26,203.94,205.21,65899939,SPY,NONE
4398,2015-12-29,206.52,207.24,206.47,207.18,14507031,206.51,207.79,206.47,207.4,92640672,SPY,LOWS
4399,2015-12-30,207.11,207.21,206.58,206.61,9009061,207.11,207.21,205.76,205.93,63317679,SPY,HIGH
4400,2015-12-31,205.13,205.18,204.5,204.54,13423022,205.13,205.89,203.87,203.87,114877859,SPY,NONE
4401,2016-01-04,200.49,200.53,199.4,199.84,34522953,200.49,201.03,198.59,201.02,222353534,SPY,NONE
4402,2016-01-05,201.4,201.8,200.44,200.45,18506062,201.4,201.9,200.05,201.36,110845849,SPY,NONE
4403,2016-01-06,198.34,199.69,198.26,199.63,27371794,198.34,200.06,197.6,198.82,152112604,SPY,NONE
4404,2016-01-07,195.33,196.58,195.03,196.26,30717021,195.33,197.44,193.59,194.05,213436073,SPY,NONE
4405,2016-01-08,195.19,195.85,194.1,194.65,34150860,195.19,195.85,191.58,191.92,209817228,SPY,HIGH
4406,2016-01-11,193.01,193.41,191.77,192.29,26691996,193.01,193.41,189.82,192.11,187941323,SPY,HIGH
4407,2016-01-12,193.82,194.55,192.9,193.09,30429365,193.82,194.55,191.14,193.66,172330490,SPY,HIGH
4408,2016-01-13,194.48,194.86,193.46,193.81,24806543,194.45,194.86,188.38,188.83,221168886,SPY,HIGH
4409,2016-01-14,189.56,190.31,187.66,190.3,49819809,189.55,193.26,187.66,191.93,240795609,SPY,LOWS
4410,2016-01-15,186.78,188.69,186.63,188.11,59817935,186.77,188.76,185.52,187.81,324846447,SPY,NONE
4411,2016-01-19,189.95,190.11,188.34,189.79,31665494,189.96,190.11,186.2,188.06,195244373,SPY,HIGH
4412,2016-01-20,185.03,185.81,183.58,183.81,39207560,185.03,187.5,181.02,185.65,286547839,SPY,NONE
4413,2016-01-21,186.19,187.37,184.64,187.07,36689077,186.21,188.87,184.64,186.69,195772941,SPY,LOWS
4414,2016-01-22,189.76,190.56,189.26,190.19,39814375,189.78,190.76,188.88,190.52,168319598,SPY,NONE
4415,2016-01-25,189.92,190.15,189.26,189.64,22178160,189.92,190.15,187.41,187.64,130371686,SPY,HIGH
4416,2016-01-26,188.42,189.75,188.02,189.43,24077784,188.42,190.53,188.02,190.2,141036757,SPY,LOWS
4417,2016-01-27,189.57,189.99,188.55,188.66,19138077,189.58,191.56,187.06,188.13,185681707,SPY,NONE
4418,2016-01-28,189.96,190.2,187.72,187.73,29274288,189.96,190.2,187.16,189.11,143798780,SPY,HIGH
4419,2016-01-29,190.01,191.7,189.88,191.09,29610015,190.02,193.88,189.88,193.72,210529336,SPY,LOWS
4420,2016-02-01,192.52,192.88,191.84,192.45,22563347,192.53,194.58,191.84,193.65,136061564,SPY,LOWS
4421,2016-02-02,191.96,191.97,190.75,191.1,28267570,191.96,191.97,189.54,190.16,182564890,SPY,HIGH
4422,2016-02-03,191.41,191.48,187.78,187.83,37616654,191.41,191.78,187.1,191.3,205054934,SPY,NONE
4423,2016-02-04,190.71,192.33,189.96,192.2,32498402,190.71,192.75,189.96,191.6,139531794,SPY,LOWS
4424,2016-02-05,190.99,191.08,189.09,189.24,25542812,190.99,191.67,187.2,187.95,180788308,SPY,NONE
4425,2016-02-08,185.77,185.87,183.93,184.13,38251226,185.77,186.12,182.8,185.42,191526694,SPY,NONE
4426,2016-02-09,183.37,186.29,183.2,185.26,36901988,183.36,186.94,183.2,185.43,184513136,SPY,LOWS
4427,2016-02-10,186.42,187.65,186.07,187.4,26150727,186.41,188.34,185.12,185.27,148214057,SPY,NONE
4428,2016-02-11,182.34,183.95,182.16,182.72,33178632,182.34,184.1,181.09,182.86,219058885,SPY,NONE
4429,2016-02-12,184.98,185.15,183.96,184.82,26405740,184.96,186.65,183.96,186.63,127632393,SPY,LOWS
4430,2016-02-16,188.77,189.02,187.84,188.13,21576454,188.77,189.81,187.63,189.78,120250668,SPY,NONE
4431,2016-02-17,191.15,192.42,191.01,192.4,25770483,191.16,193.32,191.01,192.88,136009496,SPY,LOWS
4432,2016-02-18,193.21,193.27,192.38,192.96,19369907,193.2,193.27,191.72,192.09,102342997,SPY,HIGH
4433,2016-02-19,191.16,191.65,190.45,191.35,24168795,191.17,192.18,190.45,192.0,114792988,SPY,LOWS
4434,2016-02-22,193.89,194.87,193.79,194.54,21842001,193.87,194.95,193.79,194.78,103640292,SPY,LOWS
4435,2016-02-23,194.0,194.32,193.2,193.48,20234667,194.0,194.32,192.18,192.32,111455289,SPY,HIGH
4436,2016-02-24,190.63,190.65,189.43,189.66,26807279,190.63,193.53,189.32,193.2,150812152,SPY,NONE
4437,2016-02-25,193.73,194.26,192.83,193.58,19084626,193.73,195.55,192.83,195.54,110728317,SPY,LOWS
4438,2016-02-26,196.57,196.68,195.52,195.7,21752126,196.57,196.68,194.9,195.09,129833663,SPY,HIGH
4439,2016-02-29,195.1,195.38,194.71,194.96,15337504,195.11,196.23,193.33,193.56,125918102,SPY,NONE
4440,2016-03-01,195.02,195.96,194.45,195.9,23613776,195.01,198.21,194.45,198.11,141799687,SPY,LOWS
4441,2016-03-02,197.74,198.25,197.44,197.89,17772223,197.74,199.06,197.25,199.0,102414960,SPY,NONE
4442,2016-03-03,198.77,198.81,198.12,198.56,14832676,198.79,199.8,198.11,199.78,95172197,SPY,NONE
4443,2016-03-04,200.0,200.15,199.03,199.66,19585310,200.01,201.35,199.03,200.43,129293601,SPY,LOWS
4444,2016-03-07,199.35,200.1,199.25,199.81,15717592,199.34,201.07,199.25,200.59,100218998,SPY,LOWS
4445,2016-03-08,199.33,199.47,198.65,198.66,17897485,199.32,199.92,198.21,198.4,123974866,SPY,NONE
4446,2016-03-09,199.36,199.44,198.78,199.07,14238421,199.36,199.79,198.43,199.38,94801213,SPY,NONE
4447,2016-03-10,199.96,201.07,199.6,200.24,24354067,199.96,201.07,197.38,199.54,156838697,SPY,HIGH
4448,2016-03-11,201.25,201.67,201.12,201.47,19495491,201.26,202.81,201.12,202.76,137964528,SPY,LOWS
4449,2016-03-14,202.16,202.4,201.77,202.08,13373716,202.16,203.04,201.77,202.5,73611974,SPY,LOWS
4450,2016-03-15,201.35,201.69,201.05,201.68,15823615,201.36,202.53,201.05,202.17,93169090,SPY,LOWS
4451,2016-03-16,201.61,202.41,201.6,202.14,12536468,201.6,203.82,201.55,203.34,129303179,SPY,NONE
4452,2016-03-17,203.25,203.48,202.77,203.29,13354472,203.24,205.23,202.77,204.63,134278505,SPY,LOWS
4453,2016-03-18,204.16,204.58,203.96,204.22,25916186,204.17,204.78,203.8,204.38,138372404,SPY,NONE
4454,2016-03-21,204.07,204.66,203.96,204.06,12099665,204.07,204.94,203.8,204.67,72926659,SPY,NONE
4455,2016-03-22,203.74,204.45,203.57,204.4,13460613,203.76,205.23,203.57,204.56,97471939,SPY,LOWS
4456,2016-03-23,204.11,204.21,203.66,204.04,13686839,204.11,204.33,203.01,203.21,81052455,SPY,NONE
4457,2016-03-24,202.0,202.33,201.74,202.0,14620220,202.0,203.16,201.74,203.12,84360853,SPY,LOWS
4458,2016-03-28,203.61,203.7,203.01,203.31,11042610,203.61,203.86,202.71,203.24,62408185,SPY,NONE
4459,2016-03-29,202.78,203.13,202.4,202.9,11825554,202.76,205.25,202.4,205.12,92922863,SPY,LOWS
4460,2016-03-30,206.29,206.78,206.07,206.38,16872721,206.3,206.87,205.59,206.02,86365310,SPY,NONE
4461,2016-03-31,205.91,206.37,205.87,206.06,12763135,205.91,206.41,205.33,205.52,94584110,SPY,NONE
4462,2016-04-01,204.32,205.38,203.98,205.17,20086836,204.35,207.14,203.98,206.92,114423478,SPY,LOWS
4463,2016-04-04,206.84,207.07,206.53,206.86,10123098,206.83,207.07,205.89,206.25,63496969,SPY,HIGH
4464,2016-04-05,204.66,205.26,204.16,205.06,19979392,204.67,205.26,203.89,204.19,99662158,SPY,HIGH
4465,2016-04-06,204.29,204.64,203.98,204.24,14395335,204.29,206.49,203.98,206.42,91839761,SPY,LOWS
4466,2016-04-07,205.14,205.56,204.52,204.54,16544994,205.14,205.56,203.09,203.95,113859037,SPY,HIGH
4467,2016-04-08,205.34,205.85,205.05,205.54,18400037,205.34,205.85,203.87,204.5,95040598,SPY,HIGH
4468,2016-04-11,205.25,206.07,205.14,205.76,15997945,205.25,206.07,203.91,204.02,83757486,SPY,HIGH
4469,2016-04-12,204.22,204.78,203.7,203.86,15501371,204.22,206.25,203.7,205.92,115350567,SPY,LOWS
4470,2016-04-13,207.0,207.45,206.92,207.3,16432033,207.0,208.1,206.84,208.0,96336433,SPY,NONE
4471,2016-04-14,208.07,208.15,207.6,208.0,13119100,208.07,208.6,207.6,208.01,65212883,SPY,LOWS
4472,2016-04-15,208.02,208.11,207.58,207.82,10886520,208.01,208.17,207.4,207.78,75761615,SPY,NONE
4473,2016-04-18,207.12,208.57,207.0,208.53,15154998,207.14,209.28,207.0,209.24,82530960,SPY,LOWS
4474,2016-04-19,209.74,210.2,209.47,209.97,17243226,209.74,210.2,208.94,209.9,88316060,SPY,HIGH
4475,2016-04-20,209.95,210.07,209.67,209.71,10030373,209.95,210.92,209.39,210.1,81100314,SPY,NONE
4476,2016-04-21,210.12,210.25,209.34,209.67,13404939,210.12,210.25,208.65,208.97,85695041,SPY,HIGH
4477,2016-04-22,208.55,209.29,208.5,208.66,15566127,208.55,209.29,207.91,208.97,99251724,SPY,HIGH
4478,2016-04-25,208.26,208.57,207.66,207.74,12212089,208.26,208.66,207.54,208.61,66166494,SPY,NONE
4479,2016-04-26,209.04,209.52,208.71,208.73,13065200,209.04,209.52,208.36,208.92,75864174,SPY,HIGH
4480,2016-04-27,208.47,209.08,208.45,208.46,10926306,208.47,209.81,208.05,209.35,77329437,SPY,NONE
4481,2016-04-28,208.46,209.36,208.19,209.1,14209008,208.46,209.76,206.96,207.45,97216169,SPY,NONE
4482,2016-04-29,206.71,207.13,205.82,206.37,19871609,206.72,207.13,205.03,206.33,142424137,SPY,HIGH
4483,2016-05-02,206.92,207.32,206.41,207.14,14858698,206.92,208.18,206.41,207.97,62188015,SPY,LOWS
4484,2016-05-03,206.52,206.64,205.51,205.93,20070782,206.52,206.8,205.28,206.16,106422142,SPY,NONE
4485,2016-05-04,204.99,205.85,204.72,205.49,20268664,204.99,205.85,204.42,205.01,92243810,SPY,HIGH
4486,2016-05-05,205.56,205.98,205.24,205.33,12992438,205.56,205.98,204.47,204.97,67619222,SPY,HIGH
4487,2016-05-06,204.05,205.17,204.0,204.5,17542893,204.06,205.77,203.88,205.72,89315004,SPY,NONE
4488,2016-05-09,205.56,206.39,205.48,205.71,14562218,205.57,206.4,205.36,205.89,74374922,SPY,NONE
4489,2016-05-10,206.72,207.45,206.64,207.3,14426283,206.72,208.5,206.64,208.45,77472207,SPY,LOWS
4490,2016-05-11,207.91,208.09,207.56,207.9,11430303,207.91,208.54,206.5,206.5,81726989,SPY,NONE
4491,2016-05-12,207.29,207.49,206.41,206.6,15898008,207.29,207.49,205.37,206.56,89586308,SPY,HIGH
4492,2016-05-13,206.21,206.86,205.82,206.09,16356548,206.21,206.86,204.38,204.76,96474630,SPY,HIGH
4493,2016-05-16,204.96,205.83,204.89,205.71,14661364,204.96,207.34,204.89,206.78,77486827,SPY,LOWS
4494,2016-05-17,206.46,206.8,205.76,206.02,17205650,206.46,206.8,204.23,204.85,114924940,SPY,HIGH
4495,2016-05-18,204.44,205.71,204.16,205.63,16816507,204.44,206.3,203.63,204.91,123493379,SPY,NONE
4496,2016-05-19,204.06,204.54,202.94,203.44,23600895,204.06,204.54,202.78,204.2,115430507,SPY,HIGH
4497,2016-05-20,204.96,205.95,204.86,205.51,21305181,204.92,206.1,204.86,205.49,104990408,SPY,LOWS
4498,2016-05-23,205.5,205.84,205.2,205.59,12016181,205.51,205.84,204.99,205.21,58682576,SPY,HIGH
4499,2016-05-24,206.17,207.43,206.14,207.38,18271838,206.17,208.24,206.14,207.87,93537808,SPY,LOWS
4500,2016-05-25,208.67,209.71,208.62,209.53,16565261,208.67,209.77,208.62,209.28,79221525,SPY,LOWS
4501,2016-05-26,209.44,209.71,209.01,209.34,11418866,209.44,209.71,208.97,209.34,55280699,SPY,HIGH
4502,2016-05-27,209.53,209.94,209.47,209.78,9022404,209.53,210.25,209.47,210.24,64211214,SPY,LOWS
4503,2016-05-31,210.55,210.69,210.29,210.59,11682489,210.56,210.69,209.18,209.84,109879380,SPY,HIGH
4504,2016-06-01,209.12,209.68,208.89,209.36,14436476,209.12,210.48,208.89,210.27,69936215,SPY,LOWS
4505,2016-06-02,209.8,209.91,209.24,209.61,10941327,209.8,210.93,209.24,210.91,63044749,SPY,LOWS
4506,2016-06-03,210.26,210.37,208.86,209.11,21436905,210.25,210.69,208.86,210.28,101757126,SPY,LOWS
4507,2016-06-06,210.69,211.38,210.56,211.15,10586347,210.7,211.77,210.51,211.35,64887045,SPY,NONE
4508,2016-06-07,211.53,211.98,211.5,211.97,9639829,211.53,212.34,211.5,211.68,60974761,SPY,LOWS
4509,2016-06-08,211.83,212.42,211.76,211.97,13027989,211.84,212.52,211.69,212.37,66170920,SPY,NONE
4510,2016-06-09,211.51,211.8,211.31,211.39,14489125,211.51,212.22,211.19,212.08,73786869,SPY,NONE
4511,2016-06-10,210.46,210.7,210.1,210.59,19118571,210.46,210.86,209.43,210.07,113829158,SPY,NONE
4512,2016-06-13,209.36,210.23,209.34,210.14,18022320,209.36,210.37,208.35,208.45,117751153,SPY,NONE
4513,2016-06-14,208.0,208.74,207.52,207.73,22738312,208.0,208.74,206.92,208.04,125059286,SPY,HIGH
4514,2016-06-15,208.54,208.95,208.34,208.6,14378113,208.54,209.23,207.53,207.75,109124496,SPY,NONE
